"RTE", "Raidio Teilifis Eireann", "Raidio Eireann",
"BBC", "British Broadcasting Corporation", "British Broadcasting Company",
"WRN", "World Radio Network", "",
"DW", "Deutsche Welle", "",
"RFI", "Radio France International", "",
"NPR", "National Public Radio", "",
"CRI", "China Radio International", "",
"AIR", "All India Radio", "",
"RRI", "Radio Romania International", "Radio Bucharest",
"VOA", "Voice of America", "",
"VOR", "Voice of Russia", "Radio Moscow",
"EWTN", "Eternal Word Television Network", "",
"KBS", "Korean Broadcasting Service", "",
